용도,일반명(한글),일반명(영문),CAS No,화학명,구조식,용해도,분자식,비점,분자량,증기압,외관,KowLogP,융점,밀도,코드명,코드설명,계통명
살충,마그네슘포스파이드,Magnesium phosphide,12057-74-8,magnesium phosphide,,,Mg3P2,,134.9,,노란 초록색 결정,,> 750℃,,24a,인화물계,miscellaneous (used to generate phosphine)
살균,마네브,Maneb,12427-38-2,manganese ethylenebis(dithiocarbamate) (polymeric),,"Practically insoluble in water and in common organic solvents.  Soluble in chelating agents (e.g. sodium salts of ethylenediaminetetraacetic acid), with the formation of complexes.",C4H6MnN2S4,,265.3,,황색 결정성 고체,0.620,"Decomposes, without melting, at 192-204℃",1.92,카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등",polymeric dithiocarbamate
살균,마이클로뷰타닐,Myclobutanil,88671-89-0,"2-p-chlorophenyl-2-(1H-1,2,4-triazol-1-ylmethyl)hexanenitrile",,,C15H17ClN4,390.8℃/97.6 kPa,288.8,390.8℃/97.6 kPa,백색 무취 결정성 고체,2.89,70.9℃ (tech.),,사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",conazole
살균,마이클로졸린,myclozolin,54864-61-8,"(RS)-3-(3,5-dichlorophenyl)-5-methoxymethyl-5-methyl-1,3-oxazolidine-2,4-dione",,,C12H11Cl2NO4,,304.1,,,,,,미분류,작용기구 불명,"dichlorophenyl dicarboximide, oxazole"
살균,만디프로파미드,Mandipropamid,374726-62-2,(RS)-2-(4-chlorophenyl)-N-[3-methoxy-4-(prop-2-ynyloxy)phenethyl]-2-(prop-2-ynyloxy)acetamide,,"In water 4.2 mg/L (25℃). In n-hexane 0.042, n-octanol 4.8, toluene 29, methanol 66, ethyl acetate 120, acetone 300, dichloromethane 400    (all in g/L, 25℃).",C23H22ClNO4,,411.9,,옅은 베이지색 분말,,96.4-97.3℃,1.24 (22℃),아5,"셀룰로오스 합성 저해 (디메토모르프, 벤티아발리카브, 발리페날레이트)",amide
살균,만코제브,Mancozeb,8018-01-7,manganese ethylenebis(dithiocarbamate) (polymeric) complex with zinc salt,,,〔C4H6MnN2S4〕_X Zn_Y,,271.2 (based on composition),,회황색 분말,1.33,Decomposes above 172℃,1.99 (20℃),카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등","polymeric dithiocarbamate, zinc"
살균,만코퍼,mancopper,53988-93-5,ethylenebis(dithiocarbamate) mixed metal complex containing c. 13.7% manganese and c. 4% copper,,,C4H6CuN2S4.C4H6MnN2S4,,539.2,,,,,,카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등","copper, polymeric dithiocarbamate"
살충,말라티온,Malathion,121-75-5,"diethyl (dimethoxyphosphinothioylthio)succinate  or  S-1,2-bis(ethoxycarbonyl)ethyl O,O-dimethyl phosphorodithioate",,"In water 145 mg/L (25℃).  Miscible with most organic solvents, e.g. alcohols, esters, ketones, ethers, aromatic hydrocarbons. Slightly soluble in petroleum ether and some types of mineral oil. In heptane 65-93 g/L.",C10H19O6PS2,156-157℃/0.7 mmHg,330.4,156-157℃/0.7 mmHg,호박색 투명 액체 (tech.),2.75,2.85℃,1.23 (25℃),1b,유기인계,aliphatic organothiophosphate
생조,말릭하이드라자이드,Maleic Hydrazide,123-33-1,6-hydroxy-2H-pyridazin-3-one,,,C4H4N2O2,Does not boildecomposes 310-340℃,112.1,Does not boildecomposes 310-340℃,The dry tech. is a white crystalline solid,,298-299℃,1.61(25℃ ),비대상(생장조정제),생장조정제 비저항성 발생 농약,"gametocides, growth inhibitors"
생조,말릭하이드라자이드콜린염,Maleic hydrazide-choline,61167-10-0,"choline salt of 6-hydroxy-2H-pyridazin-3-one 1,2-dihydropyridazine-3,6-dione",,,C9H18N3O3,,216.26,,,,,,비대상(생장조정제),생장조정제 비저항성 발생 농약,
살충,메가토모익산,megatomoic acid,23400-52-4,"(3E,5Z)-tetradeca-3,5-dienoic acid or (Z,E)-tetradeca-3,5-dienoic acid",,,C14H24O2,,224.3,,,,,,미분류,작용기구 불명,coleopteran attractants
살충,메빈포스,Mevinphos,7786-34-7,(EZ)-2-methoxycarbonyl-1-methylvinyl dimethyl phosphate or methyl (EZ)-3-(dimethoxyphosphinoyloxy)but-2-enoate,,"Completely miscible with water and most organic solvents,    e.g. alcohols, ketones, aromatic hydrocarbons and chlorinated hydrocarbons. Slightly soluble in aliphatic hydrocarbons, petroleum ether, ligroin and carbon disulfide.",C7H13O6P,99-103℃/0.3 mmHg,224.1,99-103℃/0.3 mmHg,무색 액체,0.127,"(E)-isomer 21℃, (Z)-isomer 6.9℃","1.24 (20℃), (E)-isomer 1.235, (Z)-isomer 1.245",1b,유기인계,organophosphate
제초,메소설퓨론,Mesosulfuron,400852-66-6,"2-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-α-methanesulfonamido-p-toluic acid",,,C16H19N5O9S2,,489.5,,,,,,B,분지 아미노산 생합성 저해,pyrimidinylsulfonylurea
제초,메소설퓨론메틸,mesosulfuron-methyl,208465-21-8,"methyl 2-[(4,6-dimethoxypyrimidin-2-ylcarbamoyl)sulfamoyl]-α-(methanesulfonamido)-p-toluate",,"In water 7.24 × 10^-3 (pH 5), 0.483 (pH 7), 15.39 (pH 9) (all in g/L, 20℃). In hexane <0.2, acetone 13.66, toluene 0.013, ethyl acetate 2, methylene chloride 3.8 (all in g/L, 20℃).",C17H21N5O9S2,,503.5,,크림색 고체,"1.39 (pH 5), -0.48 (pH 7), -2.06 (pH 9)",195.4℃,1.48,B,분지 아미노산 생합성 저해,pyrimidinylsulfonylurea
제초,메소트리온,Mesotrione,104206-82-8,"2-(4-mesyl-2-nitrobenzoyl)cyclohexane-1,3-dione",,"In water 0.16 (unbuffered water), 2.2 (pH 4.8), 15 (pH 6.9), 22 (pH 9) (all in g/L, 20℃). In acetonitrile 117.0, acetone 93.3, 1,2-dichloroethane 66.3, ethyl acetate 18.6, methanol 4.6,     toluene 3.1, xylene 1.6, n-heptane &#38;lt0.5 (all in g/L, 20℃).",C14H13NO7S,,339.3,,담황색 고체,,165℃,1.49 (20℃),H27,카로티노이드 생합성 저해(HPPD),benzoylcylclohexanedione
살충,메카밤,Mecarbam,2595-54-2,"S-(N-ethoxycarbonyl-N-methylcarbamoylmethyl) O,O-diethyl phosphorodithioate or ethyl [(diethoxyphosphinothioylthio)acetyl](methyl)carbamate",,"In water <1 g/L (room temp.). In aliphatic hydrocarbons <50 g/kg (room temp.). Miscible with alcohols, esters, ketones, and aromatic and chlorinatd hydrocarbons (room temp.).",C10H20NO5PS2,144℃/0.02 mmHg,329.4,144℃/0.02 mmHg,담갈색~담황색 기름,2.290,<25℃,1.222 (20℃),1b,유기인계,aliphatic amide organothiophosphate
살균,메카빈지드,mecarbinzid,27386-64-7,methyl 1-(2-methylthioethylcarbamoyl)benzimidazol-2-ylcarbamate,,,C13H16N4O3S,,308.4,,,,,,미분류,작용기구 불명,"benzimidazole, benzimidazolylcarbamate"
살충,메카폰,mecarphon,29173-31-7,methyl (RS)-{[methoxy(methyl)phosphinothioylthio]acetyl}(methyl)carbamate or (RS)-[S-(N-methoxycarbonyl-N-methylcarbamoylmethyl) O-methyl methylphosphonodithioate],,,C7H14NO4PS2,,271.3,,,,,,1b,유기인계,phosphonothioate
제초,메코프로프,Mecoprop,93-65-2,(RS)-2-(4-chloro-o-tolyloxy)propionic acid,,"In water 880 mg/L (25℃). In acetone, diethyl ether, ethanol >1000,ethyl acetate 825, chloroform 339 (all in g/kg, 20℃).",C10H11ClO3,298℃,214.6,298℃,무색 결정,,93-95℃,,H04,인돌아세트산 유사작용,phenoxypropionic
제초,메코프로프피,Mecoprop-p,16484-77-8,(R)-2-(4-chloro-o-tolyloxy)propionic acid,,"In water 860 mg/L (pH 7, 20℃).  In acetone, diethyl ether, ethanol >1000, dichloromethane 968, toluene 330, hexane 9 (all in g/kg, 20℃).",C10H11ClO3,,214.6,,백색 결정,,94.6-96.2℃,c. 1.31 (20℃),H04,인돌아세트산 유사작용,phenoxypropionic
살충,메타미도포스,Methamidophos,10265-92-6,"(RS)-(O,S-dimethyl phosphoramidothioate)",,"In water >200 g/L (20℃). In isopropanol and dichloromethane >200, hexane 0.1-1, toluene 2-5 (all in g/L, 20℃).",C2H8NO2PS,Decomp. >160℃,141.1,Decomp. >160℃,무색 결정,-0.8 (20℃),45℃ (purified a.i.),1.27 (20℃),1b,유기인계,phosphoramidothioate
제초,메타미트론,metamitron,41394-05-2,"4-amino-4,5-dihydro-3-methyl-6-phenyl-1,2,4-triazin-5-one or 4-amino-3-methyl-6-phenyl-1,2,4-triazin-5(4H)-one",,"In water 1.7 g/L (20℃).  In dichloromethane 30-50, cyclohexanone 10-50, isopropanol 5.7, toluene 2.8, hexane <0.1,     methanol 23, ethanol 1.1, chloroform 29 (all in g/L, 20℃).",C10H10N4O,,202.2,,무색 무취 결정,,166.6℃,1.35 g/cm^3 (22.5℃),C1,"광화학계 Ⅱ 저해(트리아진, 트리아지논, 트리아졸리논, 우라실, 피리다지논, 페닐-카바메이트 계)",triazinone
제초,메타미포프,Metamifop,256412-89-2,"(R)-2-[4-(6-chloro-1,3-benzoxazol-2-yloxy)phenoxy]-2′-fluoro-N-methylpropionanilide",,"in Hexane 8.65g/ℓ (25℃), Methanol 970.3g/ℓ, Methylene dichloride 3565.2g/ℓ",C23H18ClFN2O4,,440.9,,분말 또는  무색 고체,,82.8℃ ± 0.45,,H01,아세틸 CoA 카르복실화 효소 저해,"anilide, aryloxyphenoxypropionic"
제초,메타벤즈티아주론,Methabenzthiazuron,18691-97-9,"1-(1,3-benzothiazol-2-yl)-1,3-dimethylurea  or  1-benzothiazol-2-yl-1,3-dimethylurea",,"In water 59 mg/L (20℃). In acetone 115.9, methanol 65.9, DMF c.100, dichloromethane &#38;gt200, isopropanol 20-50,     toluene 50-100, hexane 1-2 (all in g/L, 20℃).",C10H11N3OS,,221.3,,무색 무취 결정,,119-121℃,,H05,광화학계 Ⅱ 저해 (D1 Serine 264 binders),"benzothiazole, urea"
살균,메타설포카브,methasulfocarb,66952-49-6,S-4-(mesyloxy)phenyl methyl(thiocarbamate),,In water 480 mg/L (20℃).,C9H11NO4S2,,261.3,,무색 결정,1.680,137℃,,미분류,작용기구 불명,thiocarbamate
제초,메타자클로르,Metazachlor,67129-08-2,"2-chloro-N-(pyrazol-1-ylmethyl)acet-2′,6′-xylidide",,"in Water 430㎎/ℓ(20℃), Acetone, Chloroform &#38;gt1000, Ethanol 200, Ethyl acetate 590(all g/㎏)",C14H16ClN3O,,277.8,,황색 결정,"2.49 (pH 7, 21℃)",76-85℃ (depends on crystallisation solvents),c. 1.31 (20℃),H15,장쇄 지방산 합성저해,"chloroacetanilide, pyrazole"
제초,메타조설퓨론,Metazosulfuron,868680-84-6,"1-{3-chloro-1-methyl-4-[(5RS)-5,6-dihydro-5-methyl-1,4,2-dioxazin-3-yl]pyrazol-5-ylsulfonyl}-3-(4,6-dimethoxypyrimidin-2-yl)urea",,"In water 0.015 (pH 4), 8.1 (pH 7), 7.7 (pH 9) mg/L. In acetone 62, methanol 2.5, hexane 0.0067, toluene 3.2, ethyl acetate 28, dichloromethane 177, n-octanol 0.69 (all in g/L, 20℃).",C15H18ClN7O7S,,475.9,,백색 고체,,176-178℃,,H02,분지 아미노산 생합성 저해,"pyrazole, pyrimidinylsulfonylurea"
,메타크리포스,Methacrifos,62610-77-9,"(E)-O-2-methoxycarbonylprop-1-enyl O,O-dimethyl phosphorothioate",,,C7H13O5PS,,,,,,,,,,
살충,메타플루미존,Metaflumizone,139968-49-3,"mixture of 90–100% (E)-2′-[2-(4-cyanophenyl)-1-(α,α,α-trifluoro-m-tolyl)ethylidene]-4-(trifluoromethoxy)carbanilohydrazide  and 10–0% (Z)-2′-[2-(4-cyanophenyl)-1-(α,α,α-trifluoro-m-tolyl)ethylidene]-4-(trifluoromethoxy)carbanilohydrazide",,"In water 1.79 × 10^-3 (EZ), 1.07 × 10^-3 (E), 1.87 × 10^-3 (Z) (all 20℃) (all in mg/L, 20℃).  In n-hexane 0.0085, toluene 4.0, dichloromethane 98.8, acetone 153.3, methanol 14.1,ethyl acetate 179.8,     acetonitrile 63.0 (all in g/L, 20℃).",C24H16F6N4O2,,506.4,,백색 분말,,"197℃(E),154℃(Z), melting peaks 133, 188℃(EZ)","1.433 (EZ), 1.446 (E), 1.461 (Z) (all 20℃)",22b,세미카르바존계,unclassified
살균,메탈락실,Metalaxyl,57837-19-1,"methyl N-(methoxyacetyl)-N-2,6-xylyl-DL-alaninate",,,C15H21NO4,295.9℃ (dec),279.3,295.9℃ (dec),백색 분말,1.75,71℃,,가1,RNA 중합효소 Ⅰ 저해,"acylamino acid, anilide"
살균,메탈락실엠,Metalaxyl-M,70630-17-0,"methyl N-(methoxyacetyl)-N-2,6-xylyl-D-alaninate",,,C15H21NO4,Decomp. c. 270℃,279.3,Decomp. c. 270℃,담황색~담갈색 점성 액체,1.71,-38.7℃ (glass transition temperature),1.125 (20℃),가1,RNA 중합효소 Ⅰ 저해,"acylamino acid, anilide"
제초,메탈프로팔린,methalpropalin,57801-46-4,"α,α,α-trifluoro-N-(2-methylallyl)-2,6-dinitro-N-propyl-p-toluidine",,,C14H16F3N3O4,,347.3,,,,,,미분류,작용기구 불명,dinitroaniline
균충,메탐소듐,Metam-sodium,137-42-8,sodium methyldithiocarbamate,,"In water 722 g/L (20℃).  In acetone, ethanol, kerosene, xylene &#38;lt5 g/L. Practically insoluble in most other organic solvents.",C2H4NNaS2,,129.2,,무색 결정 (dihydrate),,Decomposes without melting,1.44 (20℃),8f,이소티오시안산메틸 발생기,"dithiocarbamate fungicide, unclassified nematicide"
균충,메탐암모늄,metam-ammonium,39680-90-5,ammonium methyldithiocarbamate,,,C2H8N2S2,,124.2,,,,,,8f,이소티오시안산메틸 발생기,"dithiocarbamate fungicide, unclassified nematicide"
균충,메탐포타슘,Metam-potassium,137-41-7,potassium methyldithiocarbamate,,"Water 578 g/ℓ    at 20℃  (distilled water, pH 9.2-9.3) Acetone &#38;lt 0.2188 g/ℓ Ethyl acetate  &#38;lt 0.2032 g/ℓ 1,2 Dichloroethane &#38;lt 0.2620 g/ℓ n-heptane &#38;lt 0.2126g/ methanol 33-40 g/ℓ xylene &#38;lt 0.2611g/ℓ",C2H4KNS2,97-102℃,145.3,97-102℃,연한노랑색 액상 또는결정,-3.42 (pH 5) at 19.5±0.50℃,,1.44 D420 = 1.278 (at 20.0 ±,8f,이소티오시안산메틸 발생기,dithiocarbamate
살균,메토미노스트로빈,Metominostrobin,133408-50-1,(E)-2-(methoxyimino)-N-methyl-2-(2-phenoxyphenyl)acetamide,,"In water 0.128 g/L (20℃). In dichloromethane 1380, chloroform 1280, DMSO 940 (all in g/L, 25℃).",C16H16N2O3,,284.3,,백색 결정,2.32 (20℃),87-89℃,1.27-1.30 (20℃),다3,"복합체Ⅲ: 퀴논 외측에서 시토크롬 bc1기능 저해 (아족시스트로빈, 피콕시스트로빈, 피라클로스트로빈, 크레속심메틸, 오리사스토로빈, 파목사돈, 페나미돈, 피리벤카브 등)","amide, methoxyiminoacetamide strobilurin"
살충,메토밀,Methomyl,16752-77-5,S-methyl N-(methylcarbamoyloxy)thioacetimidate,,"In water 57.9 g/L (25℃).  In methanol 1000, acetone 730, ethanol 420, isopropanol 220, toluene 30 (all in g/kg, 25℃). Sparingly soluble in hydrocarbons.",C5H10N2O2S,,162.2,,무색 결정,0.093,78-79℃,1.2946 (25℃),1a,카바메이트계,oxime carbamate
제초,메토벤주론,metobenzuron,111578-32-6,"(RS)-1-methoxy-3-[4-(2-methoxy-2,4,4-trimethylchroman-7-yloxy)phenyl]-1-methylurea",,In water 0.4 mg/L (25℃).,C22H28N2O5,,400.5,,,6.38,102℃,,미분류,작용기구 불명,phenylurea
제초,메토브로뮤론,Metobromuron,3060-89-7,3-(4-bromophenyl)-1-methoxy-1-methylurea,,"In water 330 mg/L (20℃). In acetone 500, dichloromethane 550, methanol 240, toluene 100, octanol 70, chloroform 62.5, hexane 2.6 (all in g/L, 20℃).",C9H11BrN2O2,,259.1,,무색 결정,2.41,95.5-96℃,1.60 (20℃),H05,광화학계 Ⅱ 저해 (D1 Serine 264 binders),phenylurea
제초,메토슐람,metosulam,139528-85-1,"2′,6′-dichloro-5,7-dimethoxy-3′-methyl[1,2,4]triazolo[1,5-a]pyrimidine-2-sulfonanilide",,"In water 200 (distilled water, pH 7.5), 100 (pH 5.0), 700 (pH 7.0), 5600 (pH 9.0) (all in mg/L, 20℃).  In acetone, acetonitrile and dichloromethane >5.0, n-octanol, hexane and toluene ≤0.2 g/L.",C14H13Cl2N5O4S,,418.3,,크림색~황갈색 분말,"1.8 (pH 4), 0.2 (pH 7), -1.1 (pH 9)",210-211.5℃,1.49 (20℃),B,분지 아미노산 생합성 저해,"sulfonanilide, triazolopyrimidine"
살충,메토크로토포스,methocrotophos,25601-84-7,(E)-2-(N-methoxy-N-methylcarbamoyl)-1-methylvinyl dimethyl phosphate or 3-dimethoxyphosphinoyloxy-N-methoxy-N-methylisocrotonamide,,,C8H16NO6P,,253.2,,,,,,1b,유기인계,organophosphate
살충,메토프렌,methoprene,40596-69-8,"isopropyl (E,E)-(RS)-11-methoxy-3,7,11-trimethyldodeca-2,4-dienoate",,"In water 6.85 ppm (20℃), 0.515 ppm (25℃). Soluble in most organic solvents, e.g. in acetone and  hexane >500,  methanol >450 (all in g/L, 20±1℃).",C19H34O3,"256℃, 100℃/0.05 mmHg",310.5,"256℃, 100℃/0.05 mmHg",담황색 액체 (tech.),>6,<25℃,"0.924 (20℃), 0.921 (25℃)",7a,유약호르몬 유사체,juvenile hormone mimics
살충,메토플루트린,metofluthrin,240494-70-6,"2,3,5,6-tetrafluoro-4-(methoxymethyl)benzyl (EZ)-(1RS)-cis-trans-2,2-dimethyl-3-prop-1-enylcyclopropanecarboxylate",,"In water 0.73 mg/L (pH 7, 20℃). Readily soluble in acetonitrile, DMSO, methanol, ethanol, acetone ane hexane.",C18H20F4O3,334℃ (atmospheric pressure),360.4,334℃ (atmospheric pressure),담황색 액체,5.0 (25℃),,1.21 (20℃),3a,합성피레스로이드계,pyrethroid ester
살충,메톡시클로르,methoxychlor,72-43-5,"1,1,1-trichloro-2,2-bis(4-methoxyphenyl)ethane",,In water 0.1 mg/L (25℃).,C16H15Cl3O2,346℃,345.7,346℃,,5.08,87℃,,3b,"DDT, 메톡시클로르",organochlorine
살충,메톡시페노자이드,Methoxyfenozide,161050-58-4,"N-t-butyl-N′3,5-dimethylbenzoyl-3-methoxy-2-methylbenzohydrazide",,,C22H28N2O3,,368.5,,백색 분말,,206.2-208℃,,18,디아실하이드라진계,moulting hormone agonists
제초,메톨라클로르,Metolachlor,51218-45-2,2-chloro-N-(6-ethyl-o-tolyl)-N-[(1RS)-2-methoxy-1-methylethyl]acetamide  or  2-chloro-6′-ethyl-N-[(1RS)-2-methoxy-1-methylethyl]acet-o-toluidide,,"In water 488 mg/L (25℃). Miscible with benzene, toluene, ethanol, acetone, xylene, hexane, DMF, dichloroethane, cyclohexanone, methanol, ectanol       and dichloromethane. Insoluble in ethylene glycol, propylene glycol and petroleum ether.",C15H22ClNO2,100℃/0.001 mmHg,283.8,100℃/0.001 mmHg,무색~밝은 황갈색 액체,3.4,-62.1℃,1.12 (20℃),H15,장쇄 지방산 합성저해,chloroacetanilide
살충,메톨카브,Metolcarb,1129-41-5,m-tolyl methylcarbamate,,In water 2600 mg/L (30℃),C9H11NO2,,165.2,,무색 고체(Tech),1.7,76.5℃,,1a,카바메이트계,phenyl methylcarbamate
살균,메트라페논,Metrafenone,220899-03-6,"3′-bromo-2,3,4,6′-tetramethoxy-2′,6-dimethylbenzophenone",,"In water 0.552 (pH 5), 0.492 (pH 7), 0.457 (pH 9)  (all in mg/L, 20℃). In acetone 403, acetonitrile 165, dichloromethane 1950, ethyl acetate 261, n-hexane 4.8, methanol 26.1, toluene 363    (all in g/L, 20℃).",C19H21BrO5,,409.3,,백색 결정성 고체,,99.2-100.8℃,"1.45 (20℃, 99.4%)",나6,액틴/미오신/피브린 저해 (시아노아크릴계),aryl phenyl ketone
제초,메트리뷰진,Metribuzin,21087-64-9,"4-amino-6-tert-butyl-4,5-dihydro-3-methylthio-1,2,4-triazin-5-one",,,C8H14N4OS,132℃ /2 Pa,214.3,132℃ /2 Pa,백색 결정,,126℃,1.26 (20℃),H05,광화학계 Ⅱ 저해 (D1 Serine 264 binders),triazinone
제초,메트설퓨론,metsulfuron,79510-48-8,"2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoic acid",,In water 172 mg/L (25℃).,C13H13N5O6S,,367.3,,고체,1.7,,,B,분지 아미노산 생합성 저해,triazinylsulfonylurea
제초,메트설퓨론메틸,metsulfuron-methyl,74223-64-6,"methyl 2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoate",,"In water 0.548 (pH 5), 2.79 (pH 7), 213 (pH 9) (all in g/L, 25℃).  In hexane 5.84×10^-1 , ethyl acetate 1.11×10^4 , methanol 7.63×10^3 , acetone 3.7×10^4 ,    dichloromethane 1.32×10^5 , toluene 1.24×10^3 (all in mg/L, 25℃).",C14H15N5O6S,,381.4,,무색 결정,"-1.87 (pH 7, 20℃)",162℃,1.447 (20℃),B,분지 아미노산 생합성 저해,triazinylsulfonylurea
살충,메트알데하이드,Metaldehyde,108-62-3,"r-2,c-4,c-6,c-8-tetramethyl-1,3,5,7-tetraoxocane  2,4,6,8-tetramethyl-1,3,5,7-tetraoxacyclo-octane",,,C8H16O4 (tetramer),Sublimes at 112-115℃ (atmospheric pressure),176.2 (tetramer),Sublimes at 112-115℃ (atmospheric pressure),결정성 분말,0.12,246℃,1.27 (20℃),미분류(살충제),"아자디락틴, 디코폴 등",molluscicides
살균,메트코나졸,Metconazole,125116-23-6,"(1RS,5RS1RS,5SR)-5-(4-chlorobenzyl)-2,2-dimethyl-1-(1H-1,2,4-triazol-1-ylmethyl)cyclopentanol",,"in Water 15㎎/ℓ(20℃), Methanol 235g/ℓ, Acetone 238.9g/ℓ",C17H22ClN3O,"285℃/unspecified, 469.1°C/760 mmHg",319.8,"285℃/unspecified, 469.1°C/760 mmHg",Off-white 무취 분말,,100.0-108.4℃,1.14,사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",conazole
살균,메트퓨록삼,methfuroxam,28730-17-8,"2,4,5-trimethyl-3-furanilide",,,C14H15NO2,,229.3,,,,,,미분류,작용기구 불명,furanilide
제초,메트플루라존,metflurazon,23576-23-0,"4-chloro-5-dimethylamino-2-(α,α,α-trifluoro-m-tolyl)pyridazin-3(2H)-one",,,C13H11ClF3N3O,,317.7,,,,,,미분류,작용기구 불명,pyridazinone
살충,메티다티온,Methidathion,950-37-8,"S-2,3-dihydro-5-methoxy-2-oxo-1,3,4-thiadiazol-3-ylmethyl O,O-dimethyl phosphorodithioate or 3-dimethoxyphosphinothioylthiomethyl-5-methoxy-1,3,4-thiadiazol-2(3H)-one",,,C6H11N2O4PS3,99.9℃/1.3 Pa,302.3,99.9℃/1.3 Pa,무색 결정,,39-40℃,1.51 (20℃),1b,유기인계,thiadiazole organothiophosphate
살균,메티람,Metiram,9006-42-2,zinc ammoniate ethylenebis(dithiocarbamate) - poly(ethylenethiuram disulfide),,"Practically insoluble in water. Soluble in pyridine (with decomposition). Practically insoluble in organic solvents (e.g. ethanol, acetone, benzene).",(C16H33N11S16Zn3)x,,(1088.6)x,,황색 분말 (tech.),1.76,Decomposes at c. 156℃,1.860 (20℃),카,"보호살균제 무기유황제, 무기구리제, 유기비소제 등","polymeric dithiocarbamate, zinc"
제초,메티오졸린,Methiozolin,403640-27-7,"(5RS)-5-[(2,6-difluorobenzyloxy)methyl]-4,5-dihydro-5-methyl-3-(3-methyl-2-thienyl)-1,2-oxazole",,"in water(3.4), acetonitrile(>1000), acetone(>1000), methylene chloride(>1000), hexane(25)",C17H17F2NO2S,,337.4,,분말,,50.2℃,,H30,지방산 티오에스레트화 효소(TE) 저해,oxazole
살충,메티오카브,Methiocarb,2032-65-7,"4-methylthio-3,5-xylyl methylcarbamate",,"In water 27 mg/L (20℃). In dichloromethane >200, isopropanol 53, toluene 33, hexane 1.3 (all in g/L, 20℃).",C11H15NO2S,,225.3,,무색 결정,3.08 (20℃),119℃,1.236 (20℃),1a,카바메이트계,phenyl methylcarbamate
살충,메틸네오데카나마이드,methylneodecanamide,105726-67-8,"2,2,2-trialkyl-N-methylacetamide",,,C11H23NO,,185.3,,,,,,미분류,작용기구 불명,insect repellents
제초,메틸다임론,methyldymron,42609-73-4,"1-methyl-3-(1-methyl-1-phenylethyl)-1-phenylurea or 3-(α,α-dimethylbenzyl)-1-methyl-1-phenylurea",,In water 120 mg/L (20℃).,C17H20N2O,,268.4,,,3.01,72℃,,미분류,작용기구 불명,phenylurea
살충,메틸브로마이드,Methyl bromide,74-83-9,methyl bromide  or  bromomethane,,"In water 17.5 g/L (20℃), it forms a crystalline hydrate with ice-water.  Readily soluble in most organic solvents, e.g. lower alcohols, ethers, esters, ketones,     aromatic hydrocarbons, halogenated hydrocarbons and carbon disulfide.",CH3Br,3.6℃,94.9,3.6℃,무색 무취 기체 (상온),1.91 (25℃),-93℃,1.732 (0℃),8a,할로젠화알킬계,fumigant
살균,메파니피림,Mepanipyrim,110235-47-7,N-(4-methyl-6-prop-1-ynylpyrimidin-2-yl)aniline,,"In water 3.10 (distilled), 4.60 (pH 4), 2.08 (pH 7), 1.94 (pH 9) (all in mg/L, 20℃).  In acetone 139, methanol 15.4, n-hexane 2.06, ethyl acetate 102, toluene 55.4, dichloromethane 277,     acetonitrile 38.5 (all in g/L, 20℃).",C14H13N3,,223.3,,황백색 무취 결정성 분말,,132.8℃,1.205 (20℃),라1,"메티오닌 생합성 저해 (사이프로디닐, 피리메타닐)",anilinopyrimidine
제초,메페나셋,Mefenacet,73250-68-7,"2-(1,3-benzothiazol-2-yloxy)-N-methylacetanilide 2-benzothiazol-2-yloxy-N-methylacetanilide",,,C16H14N2O2S,,298.4,,미황색 분말,,134.8℃,,H15,장쇄 지방산 합성저해,"anilide, benzothiazole"
살균,메펜트리플루코나졸,Mefentrifluconazole,1417782-03-6,"(2RS)-2-[4-(4-chlorophenoxy)-2-(trifluoromethyl)phenyl]-1-(1H-1,2,4-triazol-1-yl)propan-2-ol",,"Water : 0.81 mg/L (pH 7)  Acetone : 93.2  g/L  Ethylacetate : 116.2  g/L  1,2-Dichloroethane : 55.3  g/L  n-Heptane : 0.0946  g/L  Methanol : 73.2  g/L  Acetonitrile : 49.4  g/L  Xylene : 8.5  g/L",C18H15ClF3N3O2,-,397.783,-,무취의 ·백색 분말,log10 Pow = 3.4 (20℃),125℃,1.47 g/cm3 (20 ℃),사1,"탈메틸 효소 기능 저해 (피리미딘계, 이미다졸계 등)",triazole
기타,메펜피르,mefenpyr,135591-00-3,"(RS)-1-(2,4-dichlorophenyl)-5-methyl-2-pyrazoline-3,5-dicarboxylic acid",,,C12H10Cl2N2O4,,317.1,,,,,,비대상(기타),기타 비저항성 발생 농약,herbicide safeners
기타,메펜피르디에틸,mefenpyr-diethyl,135590-91-9,"diethyl (RS)-1-(2,4-dichlorophenyl)-5-methyl-2-pyrazoline-3,5-dicarboxylate",,"In water 20 mg/kg (pH 6.2, 20℃).  In acetone >500, toluene, ethyl acetate and methanol >400 (all in g/L, 20℃).",C16H18Cl2N2O4,,373.2,,백색~옅은 베이지색 결정,"3.83 (pH 6.3, 21℃)",50-52℃,c. 1.31 (20℃),비대상(기타),기타 비저항성 발생 농약,herbicide safeners
